ThreadId,Maze file,X Initial,Y Initial,X Final,Y Final,Velocity,Strategy,Instructions,Basic Blocks Count,Load Count
12,Maze50.maze,1,1,1,1,20,bfs,1,1957104,4842103
12,Maze50.maze,1,1,1,1,20,dfs,1,7416683,3886731
12,Maze50.maze,1,1,1,1,20,astar,1,13233373,18320885
12,Maze50.maze,1,1,1,1,30,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,30,dfs,1,5161515,3134563
14,Maze50.maze,1,1,1,1,30,astar,1,10978205,17568717
14,Maze50.maze,1,1,1,1,40,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,40,dfs,1,4040683,2760731
14,Maze50.maze,1,1,1,1,40,astar,1,9857373,17194885
14,Maze50.maze,1,1,1,1,50,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,50,dfs,1,3365483,2535531
14,Maze50.maze,1,1,1,1,50,astar,1,9182173,16969685
14,Maze50.maze,1,1,1,1,60,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,60,dfs,1,2906347,2382395
14,Maze50.maze,1,1,1,1,60,astar,1,8723037,16816549
14,Maze50.maze,1,1,1,1,70,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,70,dfs,1,2582251,2274299
14,Maze50.maze,1,1,1,1,70,astar,1,8398941,16708453
14,Maze50.maze,1,1,1,1,80,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,80,dfs,1,2352683,2197731
14,Maze50.maze,1,1,1,1,80,astar,1,8169373,16631885
14,Maze50.maze,1,1,1,1,90,bfs,1,1957104,4842103
14,Maze50.maze,1,1,1,1,90,dfs,1,2163627,2134675
14,Maze50.maze,1,1,1,1,90,astar,1,7980317,16568829
14,Maze50.maze,1,1,5,5,20,bfs,1,714606161,584037483
14,Maze50.maze,1,1,5,5,20,dfs,1,17210465629,7450685430
14,Maze50.maze,1,1,5,5,20,astar,1,432547409,449708222
14,Maze50.maze,1,1,5,5,30,bfs,1,529682385,522359707
14,Maze50.maze,1,1,5,5,30,dfs,1,11728152221,5622165022
14,Maze50.maze,1,1,5,5,30,astar,1,335575185,417364998
14,Maze50.maze,1,1,5,5,40,bfs,1,437774161,491705483
14,Maze50.maze,1,1,5,5,40,dfs,1,9003409629,4713379430
14,Maze50.maze,1,1,5,5,40,astar,1,287379409,401290222
14,Maze50.maze,1,1,5,5,50,bfs,1,382407761,473239083
14,Maze50.maze,1,1,5,5,50,dfs,1,7361998429,4165918230
14,Maze50.maze,1,1,5,5,50,astar,1,258345809,391606622
14,Maze50.maze,1,1,5,5,60,bfs,1,344758609,460681931
14,Maze50.maze,1,1,5,5,60,dfs,1,6245838813,3793644614
14,Maze50.maze,1,1,5,5,60,astar,1,238602961,385021774
14,Maze50.maze,1,1,5,5,70,bfs,1,318182737,451818059
14,Maze50.maze,1,1,5,5,70,dfs,1,5457961437,3530863238
14,Maze50.maze,1,1,5,5,70,astar,1,224666833,380373646
14,Maze50.maze,1,1,5,5,80,bfs,1,299358161,445539483
14,Maze50.maze,1,1,5,5,80,dfs,1,4899881629,3344726430
14,Maze50.maze,1,1,5,5,80,astar,1,214795409,377081222
14,Maze50.maze,1,1,5,5,90,bfs,1,283855569,440368891
14,Maze50.maze,1,1,5,5,90,dfs,1,4440286493,3191437294
14,Maze50.maze,1,1,5,5,90,astar,1,206666001,374369814
14,Maze50.maze,1,1,10,10,20,bfs,1,1314274345,1071409343
14,Maze50.maze,1,1,10,10,20,dfs,1,16293922925,7061689390
14,Maze50.maze,1,1,10,10,20,astar,1,1071503923,1107062067
14,Maze50.maze,1,1,10,10,30,bfs,1,973743977,957831975
14,Maze50.maze,1,1,10,10,30,dfs,1,11104781357,5330950822
14,Maze50.maze,1,1,10,10,30,astar,1,830200947,1026580091
14,Maze50.maze,1,1,10,10,40,bfs,1,804498345,901383343
14,Maze50.maze,1,1,10,10,40,dfs,1,8525746925,4470763390
14,Maze50.maze,1,1,10,10,40,astar,1,710271923,986580067
14,Maze50.maze,1,1,10,10,50,bfs,1,702543145,867378143
14,Maze50.maze,1,1,10,10,50,dfs,1,6972111725,3952578190
14,Maze50.maze,1,1,10,10,50,astar,1,638025523,962483667
14,Maze50.maze,1,1,10,10,60,bfs,1,633213609,844254607
14,Maze50.maze,1,1,10,10,60,dfs,1,5915639789,3600212254
14,Maze50.maze,1,1,10,10,60,astar,1,588897971,946098115
14,Maze50.maze,1,1,10,10,70,bfs,1,584275113,827932111
14,Maze50.maze,1,1,10,10,70,dfs,1,5169894893,3351483358
14,Maze50.maze,1,1,10,10,70,astar,1,554219699,934531843
14,Maze50.maze,1,1,10,10,80,bfs,1,549610345,816370343
14,Maze50.maze,1,1,10,10,80,dfs,1,4641658925,3175300390
14,Maze50.maze,1,1,10,10,80,astar,1,529655923,926339067
14,Maze50.maze,1,1,10,10,90,bfs,1,521062889,806848887
14,Maze50.maze,1,1,10,10,90,dfs,1,4206641069,3030208534
14,Maze50.maze,1,1,10,10,90,astar,1,509426931,919592075
